date,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,magnesium_mg,potassium_mg,sodium_mg,vit_index,min_index,plants_day,plants_7d,tss,carb_target_g,carb_gap_g,microbiome,kcal_observed,kcal_assumed,n_items,pct_plant,pct_dairy,pct_animal,pct_other,pct_upf,pct_kcal_protein,pct_kcal_carb,pct_kcal_fat,mono_g,poly_g,trans_g,fat_split_mis,cnt_avocado,cnt_lenticchie,cnt_uova,cnt_banane,cnt_ceci,cnt_avena,cnt_patate_dolci,cnt_caffe
2024-08-13,1610,82.4,251.9,71.3,54.2,33.6,10.2,556,4123,1049,83.4,94.8,14,34,67,357,-105,97.9,1070,540,16,83.8,8.0,8.2,0.0,0.0,20.1,61.5,18.5,4.74,5.22,0.25,0,0.0,0.0,0.0,0.0,1.0,1.89,1.25,0.0
2024-08-14,3015,181.3,477.7,126.2,83.1,63.3,20.3,973,6318,2692,80.3,100.0,11,29,20,257,221,90.6,2465,550,18,79.2,7.8,10.8,2.2,26.9,22.6,59.6,17.8,16.4,7.51,1.1,0,0.0,0.0,0.0,1.0,1.25,1.0,0.0,0.0
2024-08-15,3016,198.2,453.1,102.3,99.4,49.9,11.2,979,7575,3411,84.4,100.0,14,31,113,456,-2,97.1,787,2229,19,87.8,4.5,7.8,0.0,9.6,26.0,59.3,14.7,21.59,9.51,0.13,0,0.67,1.0,3.0,0.0,0.0,0.0,1.33,0.0
2024-08-16,2017,95.4,289.2,62.7,46.2,57.5,26.1,560,6292,609,74.1,89.9,9,32,0,214,75,93.5,873,1144,14,75.8,1.9,18.6,3.7,21.8,18.6,56.3,25.2,20.64,5.39,1.62,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-17,2952,163.1,364.0,123.7,47.0,84.8,34.7,656,3974,2594,69.2,100.0,10,33,391,855,-491,93.3,1623,1329,15,70.6,5.0,21.9,2.5,22.2,22.7,50.7,26.6,30.09,10.82,2.73,0,0.0,0.0,0.0,1.0,0.0,1.2,0.0,0.0
2024-08-18,3040,153.7,522.5,140.1,106.1,46.4,13.5,911,5775,2615,65.6,100.0,13,31,220,684,-162,94.7,674,2366,21,94.3,5.7,0.0,0.0,17.7,19.7,66.9,13.4,14.41,13.12,0.26,0,0.0,1.0,0.0,2.0,1.25,1.0,1.33,0.0
2024-08-19,3718,173.1,563.5,141.4,68.6,89.0,33.4,784,5261,7248,78.8,100.0,8,34,360,855,-292,89.0,1480,2238,16,89.8,5.3,2.8,2.0,36.8,18.5,60.2,21.4,24.68,21.76,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024-08-20,2402,107.9,327.0,89.5,79.7,80.4,30.2,706,4884,1396,72.4,95.9,11,28,0,214,113,90.1,475,1927,17,84.8,2.3,9.7,3.1,24.0,17.5,53.1,29.4,31.24,11.43,0.61,0,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-08-21,2917,116.3,407.3,138.7,56.0,86.6,32.5,743,4146,3758,68.5,98.9,8,28,250,749,-341,82.8,1482,1435,14,96.1,1.3,0.0,2.6,48.3,16.2,56.7,27.1,25.9,20.26,0.68,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-22,2858,143.3,477.6,130.3,90.4,49.2,13.1,856,5473,2972,69.5,98.9,13,26,246,740,-262,83.4,540,2318,19,93.9,6.1,0.0,0.0,37.7,19.6,65.3,15.1,15.83,13.48,0.31,0,0.0,1.0,0.0,1.0,0.0,1.0,1.33,0.0
2024-08-23,2910,136.9,447.0,128.3,58.2,58.7,22.3,769,4837,3442,73.7,100.0,12,26,152,539,-92,89.1,1246,1664,17,94.6,5.4,0.0,0.0,18.4,19.1,62.4,18.4,16.91,14.96,0.33,0,0.0,0.0,0.0,1.0,0.0,1.0,1.25,0.0
2024-08-24,2240,82.2,359.7,96.9,50.0,57.7,25.0,584,5453,1724,72.2,94.3,9,24,68,359,0,78.0,875,1365,15,94.9,1.7,0.0,3.3,46.8,14.4,62.9,22.7,17.61,11.26,0.64,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-25,2753,164.9,269.4,53.9,37.7,115.6,34.9,461,4096,6062,71.5,100.0,8,24,0,214,56,83.4,839,1913,17,57.0,7.8,32.5,2.7,28.8,23.7,38.8,37.5,47.32,18.67,0.82,0,0.67,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,1833,75.2,350.6,67.7,46.2,19.6,7.6,542,5451,257,69.1,90.9,11,26,0,214,137,90.7,440,1392,14,91.5,8.5,0.0,0.0,13.3,16.0,74.6,9.4,6.42,3.47,0.14,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-27,2373,126.0,308.2,62.7,43.7,71.5,29.4,642,3608,2225,59.8,100.0,9,28,0,214,94,94.2,1096,1277,15,80.8,10.8,8.4,0.0,10.3,21.2,51.8,27.0,21.73,14.2,1.14,0,0.0,0.0,0.0,1.0,0.0,2.89,0.0,0.0
2024-08-28,2802,142.8,441.1,89.2,97.9,59.7,12.5,772,7215,3038,81.4,100.0,18,31,117,464,-23,93.9,736,2066,21,86.8,4.8,8.4,0.0,20.4,19.9,61.4,18.7,20.79,8.7,0.12,0,0.67,1.0,3.0,0.0,0.0,0.0,1.33,0.0
2024-08-29,1991,129.9,254.1,44.9,72.2,56.0,11.8,586,4205,1204,74.5,98.8,9,31,104,436,-182,93.2,386,1606,13,62.1,6.8,11.8,19.4,22.8,25.5,49.8,24.7,18.84,6.84,0.1,0,0.67,1.0,3.0,0.0,0.0,0.0,1.33,0.0
2024-08-30,3331,167.3,379.5,74.1,66.7,124.0,43.4,836,5825,5491,79.2,100.0,12,33,92,411,-31,97.5,2265,1066,19,89.3,7.5,3.2,0.0,8.5,20.3,46.0,33.8,21.84,13.86,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-08-31,933,63.4,140.1,62.9,22.1,15.6,2.4,304,1349,740,27.1,64.5,9,35,125,481,-341,89.2,226,707,9,87.4,12.6,0.0,0.0,36.1,26.6,58.7,14.7,2.36,2.12,0.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,1756,124.4,267.3,73.1,50.9,25.6,8.3,715,6200,770,76.4,100.0,16,39,138,509,-242,97.6,968,787,19,83.2,12.5,0.0,4.2,8.1,27.7,59.5,12.8,3.32,1.69,0.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-02,2013,94.5,322.4,93.1,36.3,32.1,11.8,388,3440,1806,79.8,95.3,9,38,88,402,-80,90.5,1383,630,14,91.2,8.8,0.0,0.0,31.5,19.3,65.9,14.8,8.76,8.54,0.33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-03,1548,101.7,199.8,59.5,37.1,45.5,14.1,551,3068,1467,60.0,97.5,12,40,57,336,-136,98.6,1548,0,19,80.2,16.2,0.0,3.6,4.6,25.2,49.5,25.3,14.36,11.89,0.19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,2377,132.1,346.5,82.1,83.9,58.8,16.6,751,5149,1499,76.1,98.4,14,37,105,438,-92,96.0,0,2377,21,82.9,7.3,9.8,0.0,13.3,21.6,56.7,21.7,25.09,10.14,0.21,0,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
