date,Faecalibacterium,Bacteroides,Prevotella,Bifidobacterium,Roseburia,Blautia,Ruminococcus,Eubacterium,Akkermansia,Lactobacillus,Altri,drv_fiber,drv_plants,drv_ferment,drv_upf,drv_animal
2024-11-16,16.55,6.14,17.16,6.7,9.81,8.44,8.79,7.89,3.57,1.09,13.88,1.0,0.589,0.227,0.483,0.137
2024-11-17,16.38,6.19,17.33,6.56,9.78,8.48,8.84,7.87,3.53,1.06,13.97,1.0,0.589,0.21,0.511,0.133
2024-11-18,16.38,6.2,17.3,6.59,9.78,8.48,8.84,7.87,3.53,1.07,13.96,1.0,0.589,0.216,0.51,0.135
2024-11-19,16.42,6.18,17.34,6.54,9.79,8.48,8.84,7.88,3.54,1.05,13.96,1.0,0.589,0.202,0.506,0.131
2024-11-20,16.41,6.17,17.38,6.51,9.79,8.48,8.84,7.88,3.53,1.05,13.97,1.0,0.589,0.197,0.508,0.129
2024-11-21,16.21,6.25,17.51,6.42,9.74,8.53,8.9,7.85,3.48,1.04,14.06,1.0,0.589,0.194,0.54,0.128
2024-11-22,16.19,6.26,17.52,6.42,9.74,8.53,8.9,7.85,3.48,1.04,14.06,1.0,0.589,0.194,0.541,0.128
2024-11-23,16.03,6.32,17.69,6.29,9.71,8.58,8.96,7.84,3.43,1.01,14.15,1.0,0.589,0.178,0.569,0.123
2024-11-24,16.02,6.32,17.7,6.29,9.7,8.58,8.96,7.84,3.43,1.01,14.15,1.0,0.589,0.178,0.571,0.123
2024-11-25,16.05,6.29,17.74,6.24,9.72,8.57,8.96,7.84,3.44,1.0,14.15,1.0,0.589,0.164,0.567,0.12
2024-11-26,16.05,6.3,17.71,6.27,9.71,8.57,8.96,7.84,3.44,1.01,14.15,1.0,0.589,0.17,0.566,0.122
2024-11-27,15.85,6.39,17.84,6.19,9.67,8.63,9.01,7.82,3.38,1.0,14.24,1.0,0.589,0.167,0.598,0.121
2024-11-28,15.84,6.38,17.88,6.16,9.67,8.63,9.02,7.82,3.38,0.99,14.24,1.0,0.589,0.162,0.6,0.119
2024-11-29,15.67,6.44,18.05,6.03,9.63,8.67,9.07,7.8,3.33,0.97,14.33,1.0,0.589,0.145,0.627,0.114
2024-11-30,15.66,6.44,18.06,6.03,9.63,8.67,9.07,7.8,3.33,0.97,14.33,1.0,0.589,0.145,0.629,0.114
2024-12-01,15.64,6.45,18.07,6.02,9.62,8.67,9.08,7.8,3.32,0.97,14.35,1.0,0.587,0.144,0.632,0.113
2024-12-02,15.64,6.46,18.01,6.06,9.62,8.67,9.08,7.8,3.32,0.97,14.37,1.0,0.582,0.149,0.63,0.115
2024-12-03,15.82,6.39,17.85,6.15,9.67,8.62,9.02,7.83,3.37,0.98,14.3,1.0,0.578,0.152,0.598,0.116
2024-12-04,15.6,6.49,17.98,6.07,9.62,8.67,9.08,7.8,3.3,0.98,14.42,1.0,0.573,0.148,0.632,0.114
2024-12-05,15.52,6.56,17.96,6.02,9.6,8.7,9.11,7.8,3.28,0.97,14.49,1.0,0.57,0.141,0.645,0.117
2024-12-06,15.3,6.68,18.01,5.96,9.56,8.76,9.17,7.77,3.22,0.96,14.6,1.0,0.567,0.142,0.678,0.121
2024-12-07,15.28,6.69,18.01,5.96,9.55,8.76,9.18,7.77,3.21,0.96,14.63,1.0,0.563,0.14,0.681,0.12
2024-12-08,15.21,6.77,17.95,5.94,9.54,8.79,9.2,7.77,3.19,0.96,14.68,1.0,0.56,0.139,0.691,0.126
2024-12-09,15.4,6.69,17.8,6.03,9.58,8.73,9.14,7.8,3.24,0.97,14.61,1.0,0.557,0.142,0.66,0.127
2024-12-10,15.4,6.7,17.75,6.06,9.58,8.73,9.14,7.8,3.24,0.98,14.62,1.0,0.553,0.148,0.658,0.129
2024-12-11,15.32,6.77,17.73,6.02,9.57,8.76,9.17,7.8,3.21,0.97,14.68,1.0,0.55,0.141,0.67,0.133
2024-12-12,15.1,6.9,17.81,5.93,9.52,8.82,9.23,7.77,3.15,0.96,14.8,1.0,0.547,0.136,0.705,0.134
2024-12-13,15.07,6.91,17.81,5.93,9.51,8.82,9.24,7.77,3.14,0.96,14.83,1.0,0.543,0.135,0.708,0.133
2024-12-14,15.0,6.99,17.75,5.91,9.5,8.85,9.26,7.77,3.12,0.96,14.88,1.0,0.54,0.134,0.718,0.139
2024-12-15,14.97,7.03,17.71,5.9,9.5,8.86,9.27,7.77,3.11,0.96,14.91,1.0,0.537,0.131,0.722,0.142
2024-12-16,14.98,7.04,17.65,5.93,9.5,8.86,9.27,7.77,3.11,0.97,14.92,1.0,0.533,0.137,0.72,0.144
2024-12-17,15.16,6.96,17.51,6.02,9.54,8.81,9.21,7.8,3.16,0.98,14.85,1.0,0.53,0.14,0.689,0.145
2024-12-18,14.94,7.09,17.59,5.93,9.49,8.87,9.28,7.77,3.1,0.97,14.98,1.0,0.527,0.134,0.724,0.147
2024-12-19,14.72,7.19,17.72,5.85,9.44,8.92,9.34,7.74,3.04,0.96,15.09,1.0,0.523,0.13,0.758,0.145
2024-12-20,14.65,7.27,17.66,5.83,9.42,8.95,9.36,7.74,3.02,0.95,15.14,1.0,0.52,0.129,0.769,0.15
2024-12-21,14.62,7.31,17.61,5.82,9.42,8.96,9.37,7.74,3.01,0.95,15.18,1.0,0.517,0.127,0.773,0.153
2024-12-22,14.42,7.42,17.7,5.76,9.37,9.01,9.42,7.71,2.96,0.95,15.28,1.0,0.513,0.128,0.805,0.153
2024-12-23,14.6,7.34,17.56,5.85,9.41,8.96,9.37,7.74,3.0,0.96,15.21,1.0,0.51,0.131,0.773,0.154
2024-12-24,14.6,7.35,17.5,5.88,9.41,8.95,9.36,7.74,3.0,0.97,15.22,1.0,0.507,0.136,0.772,0.156
2024-12-25,14.38,7.46,17.63,5.8,9.36,9.0,9.42,7.71,2.94,0.96,15.34,1.0,0.503,0.132,0.806,0.154
2024-12-26,14.31,7.53,17.6,5.76,9.34,9.03,9.45,7.71,2.92,0.95,15.4,1.0,0.5,0.125,0.818,0.158
2024-12-27,14.28,7.57,17.56,5.75,9.34,9.04,9.46,7.71,2.91,0.95,15.43,1.0,0.497,0.123,0.822,0.161
2024-12-28,14.07,7.69,17.64,5.69,9.28,9.09,9.51,7.68,2.86,0.95,15.54,1.0,0.493,0.124,0.854,0.16
2024-12-29,14.19,7.67,17.5,5.73,9.32,9.07,9.49,7.7,2.88,0.95,15.51,1.0,0.49,0.121,0.835,0.165
2024-12-30,14.19,7.68,17.44,5.76,9.32,9.07,9.48,7.7,2.88,0.95,15.52,1.0,0.487,0.126,0.833,0.167
2024-12-31,14.38,7.59,17.28,5.86,9.37,9.01,9.42,7.74,2.93,0.97,15.44,1.0,0.483,0.131,0.799,0.17
2025-01-01,14.38,7.6,17.29,5.85,9.37,9.01,9.43,7.73,2.93,0.96,15.45,1.0,0.483,0.129,0.8,0.169
2025-01-02,14.19,7.67,17.46,5.76,9.32,9.06,9.48,7.7,2.88,0.95,15.52,1.0,0.486,0.124,0.832,0.165
2025-01-03,14.4,7.57,17.35,5.83,9.37,9.01,9.42,7.73,2.94,0.96,15.42,1.0,0.488,0.127,0.799,0.167
2025-01-04,14.27,7.57,17.52,5.79,9.34,9.02,9.45,7.71,2.91,0.96,15.46,1.0,0.489,0.128,0.818,0.159
2025-01-05,14.48,7.44,17.44,5.88,9.39,8.96,9.39,7.74,2.96,0.97,15.36,1.0,0.49,0.132,0.784,0.157
