date,kcal,protein_g,carb_g,sugar_g,fiber_g,fat_g,satfat_g,magnesium_mg,potassium_mg,sodium_mg,vit_index,min_index,plants_day,plants_7d,tss,carb_target_g,carb_gap_g,microbiome,kcal_observed,kcal_assumed,n_items,cnt_avocado,cnt_lenticchie,cnt_uova,cnt_banane,cnt_ceci,cnt_avena,cnt_patate_dolci,cnt_caffe
2024-11-17,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,308,713,-627,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-18,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,64,351,-74,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-11-19,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,101,430,-153,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-11-20,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,102,432,-347,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-21,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,75,374,-289,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-22,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,75,374,-289,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-23,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,146,526,-441,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-24,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,126,483,-398,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-25,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,82,389,-113,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-11-26,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,60,342,-66,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-11-27,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,86,398,-312,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-28,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,32,282,-197,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-29,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,191,622,-537,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-11-30,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,34,287,-201,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-12-01,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,140,513,-428,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-12-02,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,176,590,-314,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-12-03,1927,97.9,276.5,52.0,76.2,54.5,15.8,641,4444,1126,70.3,91.9,11,11,0,214,63,71.9,0,1927,15,0.67,1.0,3.0,1.0,0.0,1.0,1.33,0.0
2024-12-04,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,96,419,-334,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-12-05,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,0,214,-128,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-12-06,550,26.6,85.5,27.3,18.9,15.6,6.7,271,1351,109,9.4,48.6,4,11,62,346,-261,65.1,0,550,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
